Effects,,Priority,,,,Hero Example - so that you can get the idea,,,,,,Overall Order (IMO):
,"Priority on the heroes that need sustain the most and the Doomsdayers.
After that, get it for anyone - starting with the heroes you're using the most (in PVP) - for PVE, this effect isn't going to matter.",,,,,,,,,,,5th
,"Epic is worth considering - 50% Crit DMG could come in handy in RO.

Legendary is a skip.",,,,,,,,,,,Generally not needed
,"One of the top priorities; given the current state of the game, there's a lot of ULT spammers in the PVP (Pandora, Diana, Eve, Odin..) so reducing those will come in handy.",,,,,,,,,,,4th
,,,,,,,,,,,,
,Skip. Defence is completely useless in PVP/PVE game modes.,,,,,Only start to reroll these once you're truly done with every other accessory stat that takes the higher priority over it. ,,,,,,As you wish
,HP/Round doesn't matter as it's easily substituted by anything else (such as Atropos heals).,,,,,Skip - Get Green ATK.,,,,,,Generally not needed
,"Reducing Skill Damage can come in handy in some cases but it's nowhere near the priority for the rerolls, only last resort.",,,,,Anyone with a Taunt (or Tank) effect in the team. The one that soaks the damage the most.,,,,,,As you wish
,,,,,,,,,,,,
,"One of the top priorities; higher ATK = higher Heals/Shields/Buffs/Pledge etc. 
Get it as a 3rd priority, after you got Speed & Accuracy.
First if your aim is PVE (RO).",,,,,,,,,,,2nd
,"If you're seeing your heroes missing a lot - get its Epic version, but do not roll for the Legendary variation.",,,,,Usually Pandora/Arc. Dorabella/Mulan.,,,,,,Generally not needed
,"Not really a priority; only good vs. Protector based teams, Wukong or any other lesser used hero (like Lee). Most of the times this won't be crucial factor in the battle - skip until you've done everything else.",,,,,,,,,,,As you wish
,,,,,,,,,,,,
,"Top priority for the both PVP and PVE. For PVE you want to give it to supports - Cleopatra, Atropos, or any other buffer that has to apply buffs before your main DPS heroes.",,,,,,,,,,,1st
,"Useless. Don't waste your rolls, get a Green ATK for RO if needed.",,,,,"Any hero that you're running in RO and need some extra ATK (won't impact much, maybe not at all).",,,,,,Generally not needed
,"Top priority for PVP. Dodge is highly relevant, so counter it with the Accuracy is the one of the keys to securing Victory.",,,,,,,,,,,3rd