,,,,,,,
,Avatar,Name,Priority Notes,Source,Star Level Breakpoints,Focus (PvP or PvE),Spending Money
,,,Justified Spendings - Absolute Priority Relics,These relics are aimed to help in you most all-around content as possible,,,
,,Genesis Tree,"Required for the PvP dominance, an absolute priority whenever it shows up.",Omni Relic - Fate Forge,"2, 3, 5, 6, 7, 8",Both,Justified
,,Planar Gate,Less powerful in PvP than the Tree but still great nonetheless. Slightly stronger in PvE than the Tree.,Omni Relic - Fate Forge,"2, 3, 5, 6, 7, 8",Both,Justified
,,Pharaoh's Sarcophagus,Should stay at below 5-stars due to negative damage at above (unless spender). Should be your first relic to 2-stars.,Relic Rebate,"2, 9",Both,
,,Kusanagi,"PvE Powerhouse, PvP Monarch Killer. Pick it up as fast as possible to 2-stars.","Relic Rebate
Shops","2, 6, 8",Both,
,,Flame Banner,Solid in the PvP but a must have in the Lost City for sustain,Last Week of the Season In the Relic Rebate ,"3, 5, 7, 9",Both,Justified
,,Cosmic Mirror (Telescope),"Top tier in PvP + PvE, as many DPS heroes are Demons, this relic just performs miracles, even out-doing the Sarcophagus at times. Get it after your Babylon becomes online (8/9-stars)",Relic Rebate,"2, 6, 8, 9",Both,Only if whale
,,,Rebates & Extra Sources,These relics are mostly for the PvP but are also helpful in PvE,,,
,,Divine Scepter,"A 2-star counter to Lucifer's stat steal and Corrode. At above is great for damage boost by Radiance and instant cast at 9-stars, pick up when you need a ""counter"" to Lucifer (doing PvP).",Relic Rebate,"2, 6, 9",PvP,
,,Magatama,3-stars for PvE although it has been irrelevant for a while. 6 -> 8-stars for the PvP destruction. Not sure if it's worthy of building up to 6/8-stars as F2P.,Last Week of the Season In the Relic Rebate ,"3, 6, 8",PvP > PvE,Justified
,,Forbidden Chest,"Best relic when it comes to attacking side for PvP, entirely disrupts the relic energy of the opponent's team. If you care for PvP, this relic will be a must.","End of season chest
Rebates","3, 6, 9",PvP,
,,Knight's Edge,"Cheap & Effective, don't get from the Rebate, get from other sources.",Extra Sources,"1, 3, 9",Both,
,,Lance,It's best when paired with a 3-round Chrono relic for max increase in the combo actions from your allies. Worth picking up when you've done the above relics.,"Relic Rebate
Shops","3, 5, 7, 9",Both,
,,Exorcism Cauldron,Just needs 2-stars for a full current round immunity (the round it casts). Get it when going for PvP.,Shops,2,PvP,
,,Gleipnir,"Get it once you've some free time, overall works at 3 but is weird to use, perfect at 5 and 7. Mainly used for the Speed advantage and Ultimates in R1.",Relic Rebate,"3, 5, 7, 9",PvP > PvE,
,,Ocean's Maw,"Not too big of a priority, but it's pretty fair relic both PvP and PvE wise. Exceptional in the Crusades that are during 2nd and 6th week of the season.","Relic Rebate
Shops","2, 4, 6, 8",Both,
,,,Extras/Rebates - PvP Road,When you start doing PvP as the PvE contest vanishes,,,
,,Crown of Purity,"PvP beast, 3-round cooldown reset, Seal being the most broken debuff, absolutely worth going for Ethereals or Mystifiers.",Relic Rebate,"2, 6, 8",PvP,Only if whale
,,Crimson Chalice,,,,,
,,Hannya Mask,Strong but requires 7-stars and ideally pairing with the Planar Gate. Not recommended unless you can get it fast to 7.,Money,"3, 5, 7",PvP,Only if whale
,,Call of the Sea Origin,"A key relic for the Dooms, work on it simultaneously as you're building your Dooms team.","Relic Rebate
Shops
Low Tier Chests","2, 6, 8",PvP,Only if whale
,,Crown of Schemes,"Strong offensive relic, peaks at 9-stars, has stun and extending stuns could be very usable. Works in PvE as well due to strong debuff conversion.",Money,"2, 3, 6, 7, 9",Both,Only if whale
,,Vanquisher,It's a long road starting this relic because it does need 8-stars to be reliable.,"Relic Rebate
Shops
Low Tier Chests","6, 8",PvP,
,,Python's Mirror,Very strong relic that's worth working towards with lower tier chests. As it's very unique in terms of resurrections and could change the outcome of the fight.,"Relic Rebate
Shops
Low Tier Chests","1, 5, 9",PvP,
,,Bloodrift Blade,"Nice to have but overall not much of a priority to build it, but its effects could have a bright future ahead.",Money,"2, 3, 6, 7, 8",Both,
,,Hand of Tyr,"Easy to get & pretty strong, 3 round cooldown, get it to 3-stars and forget about it.","Relic Rebate
Shops
Low Tier Chests","1, 3, 5, 9",Both,
,,Underworld Key,"PvP Niche, usable because of a stun + instant 100 energy regen, but the HP% effect is minimal.",Relic Rebate,"1, 3, 9",PvP,
,,Thunderbelt,"I wouldn't pick it up, doesn't feel that powerful late-game.",Relic Rebate,"3, 5, 7, 9",Both,
,,,Too Niche / Low Priority,Either are outdated or are too low of a priority to put your main focus on,,,
,,Zephyr Spear,"Doubt anyone new will ever built it because it's just too outdated, oldies have it because it was the very first 100 energy relic, so still usable for the same reason on the Avengers.",Relic Rebate,"3, 9",PvP,
,,Frostclaw,"Solid filler relic but requires high investment & is hard to justify due to its ""mid"" effect.","Relic Rebate
Shops","2, 3, 6, 7, 8",PvP,
,,Tempest Hammer,"Usable at PvP for the Dooms, hard to justify spending any resources that have other, better relics as options.","Relic Rebate
Shops
Low Tier Chests","5, 7",PvP,
,,Svalin's Shield,Solid with Lamia and without her usable on bulky Dooms that need HP.,"Relic Rebate
Shops
Low Tier Chests",3,PvP,
,,Cosmic Gourd,"Too niche but solid, requires heavy investment, works with Wukong but not so reliable to justify the investment, more of a ""fun"" relic.","Relic Rebate
Shops",6. 8,Both,
,,Crimson Crown,"Too niche of usage and very special energy recovery, can be good with decent planning around it.","Relic Rebate
Shops
Low Tier Chests","5, 9",PvP,
,,Famine's Scales,"Solid to get to 3-stars via cheap relic selectors, as it's a 3 round cooldown relic and also usable with bunch of Ethereals.","Relic Rebate
Shops
Low Tier Chests","1, 3",Both,
,,Plague Bow,"Solid at 3-stars to fill synergy until you get better relics, not a priority.","Relic Rebate
Shops
Low Tier Chests",3,Both,
,,Laevateinn,Requires 9-stars for the instant silence but hardly justified to get it.,"Relic Rebate
Shops
Low Tier Chests","3, 9",PvP,
,,Umbra's Torch,Bad in the seasonal PvP because of the Fortitude effect being nerfed by the Execute & hard to justify investing for 'non' seasonal content.,"Relic Rebate
Shops",4,PvP,
,,Judgment Blades,Execute part is useless due to pet (Phoenix) and (Vals) synergy. Outdated but usable in the Relic Abyss Crusades.,"Relic Rebate
Shops
Low Tier Chests",5,PvP,
,,Demonbane Whip,"Not so usable anymore as more, better relics have been released, solid filler if you get it for free.","Relic Rebate
Shops
Low Tier Chests","1, 3, 9",PvP,
,,Death's Scythe,"Outdated, don't get it.","Relic Rebate
Shops
Low Tier Chests",3,Both,
,,RA's Barque,Don't get it,"Relic Rebate
Shops",3,PvP,
,,Divine Plume,Don't get it,Relic Rebate,2,PvP,
,,Stardust Sphere,Don't get it,"Relic Rebate
Shops
Low Tier Chests",0,PvP,
,,Nightstalker,Don't get it,Relic Rebate,3,PvP,
,,Dragonblood Roar,Don't get it,Relic Rebate,2,PvP,